User_ID,Age,Household_Size,Monthly_Income,Monthly_Spend,Preferred_Channel,Brand_Importance_Rating,Price_Importance_Rating,Price_Hike_Reaction,Primary_Influence,Loyalty_Score
00021,19,2,25500,5263,Supermarkets,2,5,Switch to a cheaper brand,Social Media Ads,0.28
00022,41,3,32500,2959,Local Kirana/Mom-and-pop Stores,3,4,Switch to a cheaper brand,Word of Mouth,0.58
00023,61,4,23500,5515,E-commerce/Apps,2,5,Switch to a cheaper brand,Word of Mouth,0.35
00024,47,4,39500,7517,Supermarkets,4,2,Continue buying the same brand,Social Media Ads,0.7
00025,55,4,40000,6986,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,Doctor Recommendation,0.38
00026,19,4,52500,9980,Supermarkets,4,3,Look for discounts/offers,Word of Mouth,0.79
00027,38,3,38500,8014,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,In-store Displays,0.22
00028,50,2,37000,7385,Local Kirana/Mom-and-pop Stores,3,4,Switch to a cheaper brand,Doctor Recommendation,0.48
00029,29,5,27000,4232,E-commerce/Apps,2,5,Switch to a cheaper brand,Doctor Recommendation,0.29
00030,39,2,31000,4850,Supermarkets,1,5,Switch to a cheaper brand,TV Commercials,0
00031,61,1,18000,3973,Supermarkets,2,5,Switch to a cheaper brand,TV Commercials,0.33
00032,42,3,72500,10400,Local Kirana/Mom-and-pop Stores,4,2,Continue buying the same brand,In-store Displays,0.67
00033,66,3,34500,5312,E-commerce/Apps,1,5,Switch to a cheaper brand,In-store Displays,0.17
00034,44,4,82000,10922,Supermarkets,5,2,Continue buying the same brand,Social Media Ads,0.87
00035,59,6,34000,4872,E-commerce/Apps,2,4,Switch to a cheaper brand,TV Commercials,0.39
00036,45,3,14000,2543,E-commerce/Apps,2,5,Switch to a cheaper brand,TV Commercials,0.27
00037,33,5,28500,4289,Local Kirana/Mom-and-pop Stores,3,5,Switch to a cheaper brand,In-store Displays,0.46
00038,32,6,36000,5993,Supermarkets,2,2,Continue buying the same brand,Word of Mouth,0.33
00039,64,4,37500,8318,Local Kirana/Mom-and-pop Stores,4,3,Look for discounts/offers,In-store Displays,0.73
00040,68,2,50500,8188,E-commerce/Apps,2,4,Switch to a cheaper brand,Word of Mouth,0.39
00041,61,4,39500,5512,Supermarkets,4,4,Switch to a cheaper brand,Doctor Recommendation,0.76
00042,72,4,30500,3987,E-commerce/Apps,3,4,Switch to a cheaper brand,Doctor Recommendation,0.47
00043,69,4,22500,5024,Supermarkets,1,5,Switch to a cheaper brand,Social Media Ads,0.03
00044,74,3,29500,3968,Discount Wholesalers,3,4,Switch to a cheaper brand,In-store Displays,0.56
00045,20,3,49000,8054,E-commerce/Apps,4,3,Look for discounts/offers,Doctor Recommendation,0.71
00046,54,2,55500,9347,Supermarkets,4,4,Switch to a cheaper brand,Social Media Ads,0.73
00047,68,2,25500,4957,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,TV Commercials,0.22
00048,24,6,60000,8157,E-commerce/Apps,4,2,Continue buying the same brand,TV Commercials,0.75
00049,38,2,48000,7856,Discount Wholesalers,2,3,Look for discounts/offers,In-store Displays,0.36
00050,26,1,23000,3693,Supermarkets,2,4,Switch to a cheaper brand,In-store Displays,0.27
00051,56,3,41000,5309,Supermarkets,3,4,Switch to a cheaper brand,Doctor Recommendation,0.42
00052,35,5,43500,5702,E-commerce/Apps,4,2,Continue buying the same brand,Word of Mouth,0.73
00053,21,3,21000,3888,Supermarkets,3,5,Switch to a cheaper brand,In-store Displays,0.46
00054,42,3,18000,4964,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Doctor Recommendation,0.01
00055,31,4,46000,7502,Supermarkets,4,3,Look for discounts/offers,Doctor Recommendation,0.67
00056,67,5,28500,4161,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Word of Mouth,0.38
00057,26,3,77000,9609,E-commerce/Apps,4,4,Switch to a cheaper brand,Word of Mouth,0.76
00058,43,5,85500,13933,E-commerce/Apps,5,1,Continue buying the same brand,TV Commercials,0.9
00059,70,2,45500,7879,Supermarkets,3,4,Switch to a cheaper brand,Social Media Ads,0.43
00060,19,2,58000,9525,E-commerce/Apps,3,2,Continue buying the same brand,Social Media Ads,0.46
00061,37,3,21500,3734,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Doctor Recommendation,0.25
00062,45,3,18500,3713,Supermarkets,1,5,Switch to a cheaper brand,Doctor Recommendation,0.02
00063,64,3,33500,4685,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Social Media Ads,0.19
00064,24,1,19000,5014,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Social Media Ads,0.33
00065,61,1,42000,7204,Supermarkets,3,4,Switch to a cheaper brand,Social Media Ads,0.48
00066,25,2,24500,5867,Supermarkets,1,5,Switch to a cheaper brand,Word of Mouth,0.2
00067,64,3,39500,6384,E-commerce/Apps,2,2,Continue buying the same brand,Social Media Ads,0.34
00068,52,4,33000,3784,Supermarkets,2,5,Switch to a cheaper brand,Doctor Recommendation,0.24
00069,31,2,49500,7235,Local Kirana/Mom-and-pop Stores,4,3,Look for discounts/offers,Social Media Ads,0.66
00070,34,3,42500,6786,Supermarkets,2,2,Continue buying the same brand,In-store Displays,0.22
00071,53,2,29500,5868,Supermarkets,2,4,Switch to a cheaper brand,Social Media Ads,0.28
00072,67,3,18000,3385,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Social Media Ads,0.34
00073,57,1,39000,5175,Supermarkets,4,2,Continue buying the same brand,Word of Mouth,0.76
00074,21,3,15000,2000,E-commerce/Apps,2,5,Switch to a cheaper brand,Word of Mouth,0.2
00075,19,3,67500,9292,Supermarkets,4,3,Look for discounts/offers,Doctor Recommendation,0.8
00076,23,2,47000,8296,Supermarkets,3,2,Continue buying the same brand,Social Media Ads,0.52
00077,71,2,55000,8115,E-commerce/Apps,4,2,Continue buying the same brand,Word of Mouth,0.71
00078,59,2,22000,3168,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,TV Commercials,0.01
00079,21,5,43000,5303,Local Kirana/Mom-and-pop Stores,3,4,Switch to a cheaper brand,TV Commercials,0.59
00080,71,1,26000,5142,Discount Wholesalers,3,5,Switch to a cheaper brand,In-store Displays,0.47
00081,46,2,39000,7303,E-commerce/Apps,4,3,Look for discounts/offers,Word of Mouth,0.65
00082,35,2,22000,3443,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,In-store Displays,0.32
00083,43,5,34500,6761,Local Kirana/Mom-and-pop Stores,3,5,Switch to a cheaper brand,Social Media Ads,0.56
00084,61,4,18000,3823,E-commerce/Apps,1,4,Switch to a cheaper brand,Word of Mouth,0.12
00085,51,2,33500,5663,Supermarkets,1,5,Switch to a cheaper brand,TV Commercials,0.16
00086,27,1,15500,3063,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,TV Commercials,0.31
00087,53,3,86500,12047,E-commerce/Apps,5,2,Continue buying the same brand,TV Commercials,0.85
00088,31,2,39000,6767,Local Kirana/Mom-and-pop Stores,2,3,Look for discounts/offers,In-store Displays,0.37
00089,48,4,36000,7073,E-commerce/Apps,4,4,Switch to a cheaper brand,TV Commercials,0.75
00090,65,1,50500,7898,E-commerce/Apps,2,3,Look for discounts/offers,Word of Mouth,0.28
00091,32,2,18500,2233,Local Kirana/Mom-and-pop Stores,1,4,Switch to a cheaper brand,Social Media Ads,0.1
00092,25,3,24500,3310,E-commerce/Apps,2,5,Switch to a cheaper brand,Social Media Ads,0.33
00093,31,4,47000,8322,E-commerce/Apps,2,4,Switch to a cheaper brand,Word of Mouth,0.38
00094,40,2,39000,6049,Supermarkets,4,2,Continue buying the same brand,In-store Displays,0.67
00095,74,3,25000,3686,Supermarkets,2,5,Switch to a cheaper brand,In-store Displays,0.37
00096,57,2,50000,8123,E-commerce/Apps,4,3,Look for discounts/offers,Word of Mouth,0.71
00097,38,3,42000,6653,Supermarkets,2,3,Look for discounts/offers,In-store Displays,0.38
00098,33,1,46500,7045,E-commerce/Apps,2,3,Look for discounts/offers,TV Commercials,0.33
00099,62,4,44000,7552,E-commerce/Apps,2,3,Look for discounts/offers,Word of Mouth,0.36
00100,35,3,25500,2605,Supermarkets,1,4,Switch to a cheaper brand,Doctor Recommendation,0.1
00101,64,2,34500,7416,E-commerce/Apps,2,5,Switch to a cheaper brand,In-store Displays,0.36
00102,70,3,14000,2000,E-commerce/Apps,1,5,Switch to a cheaper brand,TV Commercials,0.13
00103,41,3,28000,3801,Supermarkets,3,4,Switch to a cheaper brand,Word of Mouth,0.47
00104,43,1,32000,6049,Supermarkets,1,5,Switch to a cheaper brand,Doctor Recommendation,0.01
00105,42,4,49500,8105,E-commerce/Apps,2,4,Switch to a cheaper brand,TV Commercials,0.35
00106,62,5,46500,8076,Supermarkets,3,2,Continue buying the same brand,Social Media Ads,0.57
00107,58,2,24500,4570,E-commerce/Apps,3,4,Switch to a cheaper brand,Word of Mouth,0.48
00108,46,2,24500,2000,E-commerce/Apps,2,5,Switch to a cheaper brand,Doctor Recommendation,0.34
00109,32,2,69500,9658,E-commerce/Apps,3,4,Switch to a cheaper brand,Social Media Ads,0.48
00110,62,3,31000,5036,E-commerce/Apps,1,5,Switch to a cheaper brand,Social Media Ads,0.11
00111,18,2,38000,4717,Local Kirana/Mom-and-pop Stores,2,2,Continue buying the same brand,TV Commercials,0.23
00112,42,3,53500,8240,Local Kirana/Mom-and-pop Stores,2,3,Look for discounts/offers,Social Media Ads,0.27
00113,24,4,34500,5500,Supermarkets,1,5,Switch to a cheaper brand,Doctor Recommendation,0.01
00114,26,4,33500,5076,Supermarkets,2,5,Switch to a cheaper brand,In-store Displays,0.3
00115,41,3,31000,4227,Discount Wholesalers,2,5,Switch to a cheaper brand,In-store Displays,0.32
00116,18,3,28000,3429,Supermarkets,1,5,Switch to a cheaper brand,In-store Displays,0.13
00117,61,4,39000,6493,Supermarkets,4,4,Switch to a cheaper brand,Word of Mouth,0.69
00118,25,1,14500,2000,E-commerce/Apps,2,5,Switch to a cheaper brand,Doctor Recommendation,0.38
00119,41,2,30000,5075,E-commerce/Apps,1,4,Switch to a cheaper brand,Word of Mouth,0.05
00120,28,4,47500,7757,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,In-store Displays,0.21
00121,68,3,44500,6636,Local Kirana/Mom-and-pop Stores,3,3,Look for discounts/offers,Doctor Recommendation,0.5
00122,34,3,73500,11547,E-commerce/Apps,4,4,Switch to a cheaper brand,TV Commercials,0.66
00123,25,4,55000,7875,Supermarkets,4,2,Continue buying the same brand,Social Media Ads,0.75
00124,52,3,44500,7294,Supermarkets,2,2,Continue buying the same brand,Doctor Recommendation,0.3
00125,52,4,36500,4861,Discount Wholesalers,3,3,Look for discounts/offers,In-store Displays,0.57
00126,50,3,28500,4190,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,Social Media Ads,0.29
00127,22,4,46500,7346,Supermarkets,2,4,Switch to a cheaper brand,TV Commercials,0.25
00128,59,4,42500,6534,Supermarkets,2,3,Look for discounts/offers,Doctor Recommendation,0.27
00129,56,3,30000,4632,E-commerce/Apps,1,5,Switch to a cheaper brand,TV Commercials,0.17
00130,58,4,23500,5065,Supermarkets,1,5,Switch to a cheaper brand,Doctor Recommendation,0.04
00131,45,4,35000,4523,Local Kirana/Mom-and-pop Stores,3,2,Continue buying the same brand,TV Commercials,0.54
00132,24,2,64500,8730,Supermarkets,4,2,Continue buying the same brand,Doctor Recommendation,0.75
00133,26,2,38000,6234,Supermarkets,4,2,Continue buying the same brand,TV Commercials,0.65
00134,25,1,36500,4244,Supermarkets,2,2,Continue buying the same brand,In-store Displays,0.21
00135,29,2,44500,6658,Discount Wholesalers,3,2,Continue buying the same brand,Doctor Recommendation,0.55
00136,51,5,46000,7221,E-commerce/Apps,3,3,Look for discounts/offers,In-store Displays,0.53
00137,50,4,41000,6738,Supermarkets,2,3,Look for discounts/offers,TV Commercials,0.28
00138,65,1,35500,4843,E-commerce/Apps,4,2,Continue buying the same brand,TV Commercials,0.76
00139,72,2,28000,4202,E-commerce/Apps,1,5,Switch to a cheaper brand,In-store Displays,0.05
00140,40,3,60000,9723,E-commerce/Apps,2,2,Continue buying the same brand,Doctor Recommendation,0.37
00141,41,3,29000,4471,Discount Wholesalers,2,5,Switch to a cheaper brand,Doctor Recommendation,0.35
00142,54,4,79500,12315,E-commerce/Apps,3,2,Continue buying the same brand,In-store Displays,0.54
00143,52,3,39000,6800,Local Kirana/Mom-and-pop Stores,4,2,Continue buying the same brand,TV Commercials,0.76
00144,61,3,37000,6568,E-commerce/Apps,3,4,Switch to a cheaper brand,In-store Displays,0.5
00145,57,2,53000,7704,Discount Wholesalers,4,3,Look for discounts/offers,TV Commercials,0.63
00146,39,2,26000,4046,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Word of Mouth,0.19
00147,44,2,48000,5793,Supermarkets,3,3,Look for discounts/offers,Word of Mouth,0.41
00148,52,6,38000,6625,Local Kirana/Mom-and-pop Stores,4,4,Switch to a cheaper brand,TV Commercials,0.74
00149,18,4,44500,6840,E-commerce/Apps,4,4,Switch to a cheaper brand,In-store Displays,0.66
00150,52,2,25500,6204,Supermarkets,2,5,Switch to a cheaper brand,Word of Mouth,0.31
00151,54,2,25500,3410,Supermarkets,1,5,Switch to a cheaper brand,In-store Displays,0.18
00152,64,3,14500,2000,Supermarkets,2,5,Switch to a cheaper brand,TV Commercials,0.35
00153,31,3,28500,2901,E-commerce/Apps,1,4,Switch to a cheaper brand,TV Commercials,0.01
00154,20,2,28000,4207,E-commerce/Apps,1,5,Switch to a cheaper brand,Word of Mouth,0.15
00155,18,2,26000,4548,Discount Wholesalers,1,5,Switch to a cheaper brand,In-store Displays,0.04
00156,22,1,34000,5210,Discount Wholesalers,2,5,Switch to a cheaper brand,Social Media Ads,0.38
00157,43,1,37500,6537,Supermarkets,3,2,Continue buying the same brand,TV Commercials,0.42
00158,72,4,46500,7876,E-commerce/Apps,4,2,Continue buying the same brand,In-store Displays,0.8
00159,31,1,48000,7387,E-commerce/Apps,4,3,Look for discounts/offers,In-store Displays,0.73
00160,56,1,50000,7558,Local Kirana/Mom-and-pop Stores,3,2,Continue buying the same brand,Social Media Ads,0.49
00161,44,3,51000,8960,Supermarkets,3,4,Switch to a cheaper brand,Social Media Ads,0.42
00162,26,3,41500,5340,Discount Wholesalers,4,3,Look for discounts/offers,Word of Mouth,0.79
00163,32,3,37000,7140,Discount Wholesalers,4,3,Look for discounts/offers,Social Media Ads,0.72
00164,32,4,57500,9071,Discount Wholesalers,4,4,Switch to a cheaper brand,Social Media Ads,0.74
00165,43,2,51000,6620,E-commerce/Apps,4,3,Look for discounts/offers,TV Commercials,0.68
00166,59,4,17000,2807,Supermarkets,2,5,Switch to a cheaper brand,Word of Mouth,0.23
00167,30,2,33000,6026,Supermarkets,1,4,Switch to a cheaper brand,In-store Displays,0.06
00168,68,2,14500,2972,E-commerce/Apps,1,4,Switch to a cheaper brand,Word of Mouth,0.06
00169,49,2,14500,2298,E-commerce/Apps,2,5,Switch to a cheaper brand,Word of Mouth,0.27
00170,56,3,28000,5722,E-commerce/Apps,1,5,Switch to a cheaper brand,Doctor Recommendation,0.18
00171,66,3,34000,6299,E-commerce/Apps,3,5,Switch to a cheaper brand,In-store Displays,0.57
00172,69,2,29000,5377,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,TV Commercials,0.38
00173,49,3,14500,2047,Supermarkets,1,4,Switch to a cheaper brand,Social Media Ads,0.05
00174,21,2,53500,7834,Supermarkets,3,2,Continue buying the same brand,In-store Displays,0.59
00175,47,2,25500,4206,Supermarkets,2,5,Switch to a cheaper brand,TV Commercials,0.36
00176,54,5,46000,7281,Supermarkets,3,3,Look for discounts/offers,In-store Displays,0.43
00177,40,1,25500,6222,E-commerce/Apps,1,4,Switch to a cheaper brand,In-store Displays,0.19
00178,56,5,28000,3079,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,Doctor Recommendation,0.3
00179,62,2,45000,6950,Local Kirana/Mom-and-pop Stores,2,2,Continue buying the same brand,TV Commercials,0.26
00180,32,3,30000,3921,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Social Media Ads,0.33
00181,60,2,39500,6944,Supermarkets,3,3,Look for discounts/offers,Social Media Ads,0.42
00182,46,1,41500,6783,Local Kirana/Mom-and-pop Stores,3,3,Look for discounts/offers,In-store Displays,0.43
00183,53,5,17500,3356,E-commerce/Apps,1,4,Switch to a cheaper brand,Social Media Ads,0.08
00184,30,4,46000,5035,E-commerce/Apps,2,2,Continue buying the same brand,TV Commercials,0.4
00185,49,3,22500,3990,E-commerce/Apps,2,5,Switch to a cheaper brand,Word of Mouth,0.38
00186,24,2,20500,2291,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,TV Commercials,0.33
00187,68,3,25000,2453,E-commerce/Apps,2,4,Switch to a cheaper brand,Social Media Ads,0.25
00188,39,2,54500,9508,Local Kirana/Mom-and-pop Stores,2,2,Continue buying the same brand,Social Media Ads,0.32
00189,45,5,16000,4253,Local Kirana/Mom-and-pop Stores,3,4,Switch to a cheaper brand,Doctor Recommendation,0.56
00190,19,3,50000,7918,Supermarkets,4,4,Switch to a cheaper brand,In-store Displays,0.79
00191,59,1,43000,7190,Supermarkets,4,4,Switch to a cheaper brand,In-store Displays,0.73
00192,62,4,37500,4897,Supermarkets,3,3,Look for discounts/offers,Doctor Recommendation,0.52
00193,74,2,41000,5877,Supermarkets,2,2,Continue buying the same brand,Doctor Recommendation,0.31
00194,70,3,31000,4336,Discount Wholesalers,1,5,Switch to a cheaper brand,Word of Mouth,0.11
00195,23,3,51000,7836,Supermarkets,3,2,Continue buying the same brand,Doctor Recommendation,0.52
00196,45,2,29000,3223,Local Kirana/Mom-and-pop Stores,2,5,Switch to a cheaper brand,Doctor Recommendation,0.25
00197,45,3,16000,3338,Discount Wholesalers,2,5,Switch to a cheaper brand,In-store Displays,0.36
00198,61,3,34500,6049,Supermarkets,1,5,Switch to a cheaper brand,In-store Displays,0.04
00199,61,4,54000,8418,Local Kirana/Mom-and-pop Stores,2,2,Continue buying the same brand,TV Commercials,0.25
00200,37,1,46000,7227,Supermarkets,2,4,Switch to a cheaper brand,Word of Mouth,0.27
00201,47,2,89500,15006,Supermarkets,5,2,Continue buying the same brand,Social Media Ads,0.81
00202,28,1,31500,5731,E-commerce/Apps,1,4,Switch to a cheaper brand,Doctor Recommendation,0.16
00203,72,3,33500,6515,E-commerce/Apps,1,5,Switch to a cheaper brand,TV Commercials,0.14
00204,45,5,32000,5940,Supermarkets,3,5,Switch to a cheaper brand,Word of Mouth,0.46
00205,42,3,24500,4059,E-commerce/Apps,2,5,Switch to a cheaper brand,Word of Mouth,0.25
00206,56,3,28500,5381,E-commerce/Apps,1,5,Switch to a cheaper brand,In-store Displays,0.2
00207,50,6,21500,4467,E-commerce/Apps,2,5,Switch to a cheaper brand,Social Media Ads,0.3
00208,18,4,11500,2264,Supermarkets,1,5,Switch to a cheaper brand,Word of Mouth,0.11
00209,74,5,27000,2338,E-commerce/Apps,3,5,Switch to a cheaper brand,TV Commercials,0.58
00210,44,3,36500,4346,Supermarkets,2,4,Switch to a cheaper brand,Doctor Recommendation,0.21
00211,74,6,49500,8856,Local Kirana/Mom-and-pop Stores,4,4,Switch to a cheaper brand,Social Media Ads,0.76
00212,69,4,27000,2396,E-commerce/Apps,3,5,Switch to a cheaper brand,Word of Mouth,0.42
00213,30,3,27000,3264,Supermarkets,3,4,Switch to a cheaper brand,TV Commercials,0.48
00214,58,1,60500,8050,Supermarkets,4,4,Switch to a cheaper brand,Doctor Recommendation,0.69
00215,20,2,18500,2000,Discount Wholesalers,2,5,Switch to a cheaper brand,TV Commercials,0.23
00216,56,4,33000,5595,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Doctor Recommendation,0.1
00217,23,2,58500,9216,E-commerce/Apps,4,4,Switch to a cheaper brand,Social Media Ads,0.63
00218,25,2,25000,3330,Supermarkets,2,5,Switch to a cheaper brand,In-store Displays,0.38
00219,44,1,16500,3986,Supermarkets,1,5,Switch to a cheaper brand,Social Media Ads,0.12
00220,26,2,85000,10940,Local Kirana/Mom-and-pop Stores,4,2,Continue buying the same brand,Social Media Ads,0.77
00221,54,2,54000,7849,Supermarkets,4,2,Continue buying the same brand,Doctor Recommendation,0.79
00222,50,2,55000,7839,E-commerce/Apps,3,2,Continue buying the same brand,Social Media Ads,0.54
00223,68,3,34500,7266,E-commerce/Apps,2,4,Switch to a cheaper brand,Word of Mouth,0.23
00224,59,2,50000,7851,Supermarkets,2,4,Switch to a cheaper brand,In-store Displays,0.33
00225,61,4,10000,2194,E-commerce/Apps,2,5,Switch to a cheaper brand,In-store Displays,0.24
00226,41,4,29000,4416,Supermarkets,2,5,Switch to a cheaper brand,In-store Displays,0.24
00227,32,6,58000,8164,Supermarkets,4,3,Look for discounts/offers,Word of Mouth,0.73
00228,71,3,18000,3711,Supermarkets,2,5,Switch to a cheaper brand,Social Media Ads,0.25
00229,49,3,30500,5571,E-commerce/Apps,1,5,Switch to a cheaper brand,Social Media Ads,0.08
00230,49,3,42500,8427,E-commerce/Apps,2,4,Switch to a cheaper brand,Social Media Ads,0.31
00231,41,2,24500,2280,Supermarkets,1,5,Switch to a cheaper brand,Social Media Ads,0.18
00232,58,3,36000,4483,Supermarkets,2,4,Switch to a cheaper brand,Doctor Recommendation,0.36
00233,69,4,44000,6272,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,Social Media Ads,0.38
00234,66,5,42000,8093,Supermarkets,2,3,Look for discounts/offers,Social Media Ads,0.34
00235,66,4,29500,3996,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Doctor Recommendation,0.01
00236,69,2,23500,5147,Supermarkets,2,4,Switch to a cheaper brand,In-store Displays,0.38
00237,29,3,44000,5225,E-commerce/Apps,2,3,Look for discounts/offers,TV Commercials,0.27
00238,56,2,43000,7066,Supermarkets,2,2,Continue buying the same brand,Social Media Ads,0.36
00239,19,2,41500,6392,Supermarkets,3,3,Look for discounts/offers,Doctor Recommendation,0.47
00240,20,5,38000,4603,Supermarkets,4,3,Look for discounts/offers,TV Commercials,0.61
00241,66,4,43000,7172,Supermarkets,3,3,Look for discounts/offers,Doctor Recommendation,0.47
00242,54,3,56000,8245,Supermarkets,3,3,Look for discounts/offers,Word of Mouth,0.49
00243,66,5,42000,7306,E-commerce/Apps,4,3,Look for discounts/offers,Doctor Recommendation,0.69
00244,73,1,38000,6765,Supermarkets,3,2,Continue buying the same brand,Doctor Recommendation,0.43
00245,34,5,27500,3989,Local Kirana/Mom-and-pop Stores,1,4,Switch to a cheaper brand,Doctor Recommendation,0.05
00246,66,3,72500,11262,E-commerce/Apps,4,3,Look for discounts/offers,Word of Mouth,0.78
00247,19,3,20500,4636,Discount Wholesalers,1,5,Switch to a cheaper brand,Social Media Ads,0.19
00248,19,2,32500,4193,Discount Wholesalers,3,5,Switch to a cheaper brand,Doctor Recommendation,0.46
00249,45,2,28000,3951,E-commerce/Apps,1,5,Switch to a cheaper brand,Social Media Ads,0.1
00250,71,3,14500,2952,E-commerce/Apps,1,5,Switch to a cheaper brand,Doctor Recommendation,0.01
00251,40,3,43000,7101,E-commerce/Apps,3,3,Look for discounts/offers,In-store Displays,0.42
00252,54,3,32500,3300,E-commerce/Apps,2,4,Switch to a cheaper brand,Doctor Recommendation,0.21
00253,49,2,36500,5112,Supermarkets,2,2,Continue buying the same brand,Social Media Ads,0.31
00254,50,3,33000,4678,Supermarkets,1,5,Switch to a cheaper brand,Word of Mouth,0.13
00255,18,3,52500,9228,Local Kirana/Mom-and-pop Stores,3,2,Continue buying the same brand,Social Media Ads,0.45
00256,36,4,56000,8706,E-commerce/Apps,2,3,Look for discounts/offers,Word of Mouth,0.39
00257,19,4,20500,2000,E-commerce/Apps,1,5,Switch to a cheaper brand,Social Media Ads,0.08
00258,70,2,87500,14589,E-commerce/Apps,5,2,Continue buying the same brand,Doctor Recommendation,0.82
00259,61,3,32000,5965,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,In-store Displays,0.19
00260,43,2,48500,6499,Local Kirana/Mom-and-pop Stores,2,3,Look for discounts/offers,Social Media Ads,0.26
00261,49,4,39500,6826,Discount Wholesalers,4,3,Look for discounts/offers,Word of Mouth,0.67
00262,23,1,38000,5619,E-commerce/Apps,3,4,Switch to a cheaper brand,Doctor Recommendation,0.42
00263,49,2,47500,8037,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,In-store Displays,0.23
00264,72,3,70000,12668,E-commerce/Apps,2,2,Continue buying the same brand,Doctor Recommendation,0.27
00265,21,3,53500,8264,Supermarkets,2,3,Look for discounts/offers,Doctor Recommendation,0.35
00266,72,5,32000,3515,Local Kirana/Mom-and-pop Stores,1,5,Switch to a cheaper brand,Social Media Ads,0.1
00267,28,1,34500,4410,E-commerce/Apps,1,5,Switch to a cheaper brand,TV Commercials,0.17
00268,73,4,27000,4030,Supermarkets,1,4,Switch to a cheaper brand,Doctor Recommendation,0.14
00269,34,1,51500,7811,Discount Wholesalers,3,2,Continue buying the same brand,Social Media Ads,0.49
00270,55,6,48500,6749,Supermarkets,4,3,Look for discounts/offers,Social Media Ads,0.61
00271,41,2,30500,4689,Supermarkets,3,5,Switch to a cheaper brand,In-store Displays,0.43
